"Nome do Serviço","Categoria","Descrição"
"Amazon DevOps Guru","Machine Learning","Insights operacionais com ML para anomalias. Fornece recomendações proativas para confiabilidade."
"Amazon Elastic Container Registry","Ferramentas de Desenvolvedor","Registro privado de imagens Docker gerenciado. Integra-se nativamente com ECS e EKS."
"Amazon Elastic VMware Service","Computação","Serviço que permite executar workloads VMware nativamente na infraestrutura AWS sem necessidade de replatforming. Oferece o ambiente vSphere completo como serviço gerenciado dentro das regiões AWS. Permite migrar VMs VMware para a AWS usando ferramentas nativas como HCX sem alterar as aplicações."
"Amazon FinSpace","Analytics","Plataforma de dados para serviços financeiros. Prepara e analisa dados regulamentados."
"Amazon Forecast","Machine Learning","Serviço de previsões precisas com ML. Ideal para time-series forecasting em planejamento."
"Amazon Fraud Detector","Machine Learning","Detecção de fraudes online com ML. Oferece modelos pré-treinados para e-commerce."
"Amazon GameLift Servers","Desenvolvimento de Jogos","Serviço gerenciado para hospedar servidores de jogos multiplayer dedicados com escalonamento automático e match-making integrado. Gerencia automaticamente o provisionamento, patches e escalonamento de servidores de jogo em múltiplas regiões."
"Amazon GameLift Streams","Desenvolvimento de Jogos","Serviço lançado em 2025 para streaming de jogos de alta fidelidade diretamente para dispositivos dos jogadores sem necessidade de hardware de gaming local. Processa e renderiza o jogo na nuvem AWS, transmitindo apenas o vídeo comprimido com latência ultra-baixa para o dispositivo do jogador."
"Amazon HealthLake","Saúde","Serviço de armazenamento e análise de dados de saúde. Compatível com FHIR e integrado com ML."
"Amazon IVS (Interactive Video Service)","Mídia","Serviço gerenciado para construir experiências de streaming de vídeo ao vivo interativo em aplicações e sites. Permite adicionar live streaming com latência ultra-baixa (inferior a 5 segundos) a qualquer aplicação com poucos minutos de integração via SDK."
"Amazon Kendra","Machine Learning","Busca empresarial inteligente com NLP. Compreende documentos e responde perguntas contextuais."
"Amazon Keyspaces","Banco de Dados","Apache Cassandra gerenciado com alta disponibilidade. Ideal para aplicações NoSQL escaláveis."
"Amazon Kinesis Data Streams","Analytics","Captura de dados em tempo real para processamento. Oferece ingestão escalável para streaming."
"Amazon Kinesis Video Streams","Mídia","Streaming seguro de vídeo para analytics e playback. Ingestão de câmeras e dispositivos IoT."
"Amazon Lex","Machine Learning","Serviço de construção de interfaces conversacionais. Cria chatbots com voz e texto usando NLU."
"Amazon Location Service","Geoespacial","Serviço de mapas, geolocalização e routing. Fornece dados de localização sem terceiros."
"Amazon Lookout for Equipment","Machine Learning","Detecção de anomalias em equipamentos com sensores. Suporta manutenção preditiva com ML."
"Amazon Managed Blockchain","Blockchain","Redes blockchain gerenciadas com Hyperledger Fabric. Suporta aplicações descentralizadas."
"Amazon Managed Grafana","Monitoramento","Serviço gerenciado para Grafana, ferramenta de analytics e monitoramento. Oferece dashboards para métricas e logs."
"Amazon Managed Service for Apache Flink","Analytics","Serviço gerenciado para executar aplicações Apache Flink de processamento de streams sem gerenciar servidores. Apache Flink é um framework de processamento distribuído para pipelines de dados em tempo real com estado. Suporta Java, Scala, Python e SQL para definir transformações de stream."
"Amazon Managed Service for Prometheus","Monitoramento","Serviço de monitoramento de métricas gerenciado compatível com um ecossistema de código aberto. Ele elimina a complexidade de operar clusters com alta disponibilidade para ambientes Kubernetes em grande escala. Integra-se com EKS, ECS e cargas de trabalho on-premises via agentes existentes."
"Amazon MemoryDB","Banco de Dados","Banco de dados em memória compatível com Redis, com durabilidade de dados garantida por um log de transações multi-AZ. Diferente do ElastiCache (que é um cache), o MemoryDB é um banco de dados primário com consistência forte e persistência."
"Amazon Monitron","Machine Learning","Solução end-to-end para monitoramento de condições de equipamentos industriais usando sensores IoT e ML. Inclui sensores físicos para medir vibração e temperatura, gateway de comunicação e modelo de ML para detectar anomalias."
"Amazon MQ","Integração de Aplicações","Message brokers gerenciados (ActiveMQ, RabbitMQ). Facilita migração sem mudanças no código."
"Amazon MSK (Managed Streaming for Apache Kafka)","Analytics","Serviço totalmente gerenciado para Apache Kafka, o padrão de streaming de eventos em nível empresarial. Automatiza o provisionamento, configuração, patches e operações de clusters Kafka. Oferece MSK Serverless para escalonamento automático sem gerenciar capacidade."
"Amazon MWAA (Managed Workflows for Apache Airflow)","Integração de Aplicações","Serviço gerenciado de Apache Airflow para orquestrar pipelines de dados e workflows complexos. Elimina a necessidade de instalar, configurar e escalar clusters Airflow manualmente. Suporta DAGs (Directed Acyclic Graphs) em Python para definir e agendar workflows de dados."
"Amazon Neptune","Banco de Dados","Banco de grafos para dados altamente conectados. Suporta Apache TinkerPop e SPARQL."
"Amazon Nova Act","Machine Learning","Modelo de ação da Amazon treinado para executar tarefas em ambientes computacionais como navegadores web e interfaces de desktop. Diferente de modelos de linguagem convencionais, o Nova Act é otimizado para sequências de ações em interfaces gráficas."
"Amazon OpenSearch Service","Busca","Serviço de busca e analytics baseado em OpenSearch. Sucessor do Elasticsearch Service."
"Amazon Personalize","Machine Learning","Serviço de recomendações personalizadas com ML. Ideal para sistemas de recomendação."
"Amazon Q","Machine Learning","Assistente de IA generativa da AWS para empresas que responde perguntas, gera conteúdo e executa tarefas usando dados corporativos. Conecta-se a mais de 40 fontes de dados empresariais como S3, SharePoint, Salesforce e Google Drive."
"Amazon Q Business","Machine Learning","Assistente de IA generativa para empresas que conecta bases de conhecimento internas e responde perguntas de funcionários. Indexa documentos de fontes como S3, SharePoint, Confluence, Salesforce e databases corporativos."
"Amazon Q Developer","Ferramentas de Desenvolvedor","Assistente de IA especializado em desenvolvimento de software, integrado a IDEs como VS Code e JetBrains. Oferece autocompletar de código, geração de funções, explicação de código legado, sugestões de correção de bugs e geração de testes unitários."
"Amazon Q Developer in chat applications","Gerenciamento e Governança","Anteriormente conhecido como AWS Chatbot, integra notificações e interações de operações AWS com plataformas de chat como Slack e Microsoft Teams. Permite receber alertas do CloudWatch, notificações de segurança e atualizações de pipeline diretamente no chat."
"Amazon Quick Suite (ex-QuickSight)","Analytics","Suíte de business intelligence e análise agêntica que evoluiu do Amazon QuickSight em 2025. Permite criar dashboards interativos e análises visuais serverless, com Q&A em linguagem natural e insights automáticos por ML. Conecta-se a dezenas de fontes como RDS, Redshift, S3, Athena e Salesforce."
"Amazon RDS Proxy","Banco de Dados","Pool de conexões gerenciado para bancos RDS. Melhora escalabilidade e disponibilidade."
"Amazon Redshift Serverless","Analytics","Data warehouse serverless com pay-per-use. Oferece analytics sem gerenciamento de clusters."
"Amazon Route 53 Global Resolver","Rede e Entrega de Conteúdo","Recurso do Route 53 que permite resolução de DNS entre redes on-premises e VPCs AWS de forma bidirecional. Possibilita que recursos on-premises resolvam nomes de domínio de recursos privados na AWS e vice-versa. Elimina a necessidade de configurar resolvers DNS customizados em ambientes híbridos."
"Amazon Route 53 Resolver","Rede e Entrega de Conteúdo","Resolução DNS entre VPCs e redes on-premises. Suporta redes híbridas."
"Amazon S3 Access Points","Armazenamento","Pontos de acesso nomeados para buckets S3. Simplifica políticas de acesso complexas."
"Amazon S3 Batch Operations","Armazenamento","Operações em lote para objetos S3 em escala. Processa bilhões de objetos automaticamente."
"Amazon S3 Multi-Region Access Points","Armazenamento","Acesso global otimizado para dados S3. Roteia automaticamente para a região mais próxima."
"Amazon S3 Object Lambda","Armazenamento","Processamento customizado de objetos em requisições. Transforma dados sem duplicação."
"Amazon S3 on Outposts","Híbrido","API S3 em infraestrutura on-premises. Oferece armazenamento local com experiência S3."
"Amazon SageMaker AI","Machine Learning","Plataforma completa e gerenciada para construir, treinar e implantar modelos de machine learning em escala. Inclui notebooks Jupyter gerenciados, pipelines de ML automatizados, registro de modelos, monitoramento em produção e ferramentas de MLOps."
"Amazon SageMaker Canvas","Machine Learning","ML visual sem código para analistas. Usa interface drag-and-drop para criar modelos."
"Amazon SageMaker Studio","Machine Learning","IDE integrado para desenvolvimento de ML. Suporta colaboração com Jupyter notebooks."
"Amazon Security Lake","Segurança e Identidade","Serviço que centraliza e normaliza dados de segurança de fontes AWS e de terceiros em um data lake dedicado no S3. Converte automaticamente os dados para o formato OCSF (Open Cybersecurity Schema Framework) para análise uniforme."
"Amazon SWF (Simple Workflow Service)","Integração de Aplicações","Serviço que coordena tarefas e fluxos de trabalho distribuídos entre aplicações e componentes. Mantém o estado de execução de workflows de longa duração que podem levar dias, semanas ou meses. Garante que cada tarefa seja executada apenas uma vez e na ordem correta, mesmo com falhas."
"Amazon Textract","Machine Learning","Extração inteligente de texto de documentos scaneados. Usa OCR com compreensão de layout."
"Amazon Timestream","Banco de Dados","Banco otimizado para séries temporais. Oferece performance para IoT e métricas."
"Amazon Transcribe Medical","Machine Learning","Transcrição especializada para conversas médicas. Converte fala em texto com terminologia clínica."
"Amazon Translate","Machine Learning","Serviço de tradução neural entre 75+ idiomas. Oferece qualidade profissional customizável."
"Amazon Verified Permissions","Segurança e Identidade","Serviço de autorização baseado em políticas para aplicações, usando a linguagem Cedar para definir regras de controle de acesso. Externaliza a lógica de autorização do código da aplicação para um motor de políticas centralizado e auditável."
"Amazon VPC Lattice","Rede e Entrega de Conteúdo","Service mesh simplificado para conectividade. Oferece descoberta automática e políticas de acesso."
"Amazon WorkMail","Comunicação","Email, calendário e contatos empresariais gerenciados. Compatível com Outlook e padrões."
"Amazon WorkSpaces","Usuário Final","Desktops virtuais Windows e Linux na nuvem. Oferece VDI persistente multiplataforma."
"Amazon WorkSpaces Applications","Computação","Serviço para transmitir aplicações Windows específicas para usuários sem precisar de um desktop virtual completo. Os usuários acessam apenas as aplicações autorizadas que rodam na AWS, com interface nativa no dispositivo local."
"Amazon WorkSpaces Secure Browser","Usuário Final","Serviço de browser isolado na nuvem que permite acesso seguro a aplicações web sem expor dispositivos locais a ameaças. O browser roda em um ambiente isolado na AWS; malware de sites não pode atingir o dispositivo do usuário."
"Amazon WorkSpaces Thin Client","Usuário Final","Dispositivo de hardware leve e de baixo custo otimizado para acessar WorkSpaces e AppStream 2.0. Substitui desktops tradicionais em ambientes corporativos com um dispositivo menor, mais seguro e de fácil gestão centralizada."
"AWS A2I (Amazon Augmented AI)","Machine Learning","Serviço de revisão humana para predições de machine learning. Combina automação com supervisão humana para garantir alta precisão em tarefas como validação de dados."
"AWS Activate","Suporte ao Desenvolvedor","Programa de suporte para startups usando AWS. Oferece créditos, recursos técnicos e mentoria para empresas iniciantes."
"AWS Amplify","Ferramentas de Desenvolvedor","Plataforma para desenvolvimento full-stack de apps web e mobile. Inclui ferramentas para construção, deploy automático com CI/CD e integração com frameworks como React e Angular."
"AWS Amplify Studio","Ferramentas de Desenvolvedor","Interface visual para criar UIs com AWS Amplify. Oferece desenvolvimento low-code com geração automática de componentes React."
"AWS App Mesh","Rede e Entrega de Conteúdo","Service mesh para monitorar e controlar comunicação entre microserviços. Fornece observabilidade avançada e gerenciamento de tráfego."
"AWS App Runner","Computação","Serviço de deploy containerizado serverless para aplicações web. Oferece escalabilidade automática sem necessidade de gerenciar infraestrutura."
"AWS App Studio","Ferramentas de Desenvolvedor","Plataforma low-code para construção de aplicações empresariais internas alimentada por IA generativa. Permite criar aplicações funcionais descrevendo os requisitos em linguagem natural, sem necessidade de expertise em frontend."
"AWS App2Container","Migração e Transferência","Ferramenta para containerização de aplicações .NET e Java legadas. Automatiza a migração para containers Docker."
"AWS AppConfig","Gerenciamento e Governança","Serviço de gerenciamento de configurações em produção. Permite deploys seguros com rollback automático em caso de falhas."
"AWS AppFabric","Segurança e Identidade","Solução de conectividade e segurança para aplicações SaaS. Normaliza dados de segurança entre diferentes plataformas."
"AWS Application Discovery Service","Migração e Transferência","Serviço de descoberta automática de aplicações on-premises. Mapeia dependências e cria inventários para migração."
"AWS Application Migration Service","Migração e Transferência","Serviço de migração lift-and-shift para a AWS. Usa replicação contínua para minimizar o tempo de inatividade."
"AWS AppSync","Integração de Aplicações","Serviço de APIs GraphQL gerenciadas com sincronização offline. Suporta real-time e colaboração em apps mobile e web."
"AWS Artifact","Conformidade","Portal de documentos de conformidade e acordos AWS. Disponibiliza relatórios de auditoria e certificações sob demanda."
"AWS Audit Manager","Conformidade","Serviço de automação de auditorias de conformidade. Gera evidências contínuas para frameworks regulatórios."
"AWS Auto Scaling","Computação","Serviço de escalabilidade automática para recursos AWS. Otimiza performance e custos com ajustes dinâmicos."
"AWS B2B Data Interchange","Integração de Aplicações","Serviço para trocar documentos EDI (Electronic Data Interchange) entre empresas de forma gerenciada na AWS. Transforma automaticamente arquivos EDI (X12, EDIFACT) em formatos modernos como JSON e XML para integração com sistemas internos."
"AWS Backup","Armazenamento","Serviço de backup centralizado para AWS. Oferece políticas automáticas e recuperação point-in-time."
"AWS Batch","Computação","Serviço gerenciado para execução de jobs de processamento em lote em grande escala na AWS. Provisiona automaticamente a quantidade de recursos computacionais necessários com base na fila de trabalhos. Ideal para simulações científicas, renderização de imagens, análise de dados e ETL pesado."
"AWS Bedrock","Machine Learning","Plataforma de modelos de IA generativa via API. Fornece foundation models para texto, imagem e código."
"AWS Billing and Cost Management","Gerenciamento de Custos","Ferramenta de monitoramento e controle de gastos na AWS. Inclui análise detalhada e alertas personalizados."
"AWS Billing Conductor","Gerenciamento de Custos","Serviço para provedores de serviços gerenciados e revendedores AWS criarem modelos de cobrança customizados para clientes finais. Permite aplicar margens, descontos, taxas fixas e regras de faturamento personalizadas sobre os custos AWS."
"AWS Certificate Manager","Segurança e Identidade","Serviço de provisionamento e gerenciamento de certificados SSL/TLS. Oferece renovação automática e integração nativa."
"AWS Clean Rooms","Analytics","Serviço que permite a múltiplas empresas colaborar em análises conjuntas de dados sem compartilhar os dados brutos entre si. Cada parte mantém controle sobre seus dados enquanto contribui com consultas agregadas em um ambiente seguro e governado."
"AWS Cloud Control API","Gerenciamento e Governança","API unificada para gerenciar recursos na nuvem. Oferece controle consistente em ambientes multi-cloud."
"AWS Cloud Map","Rede e Entrega de Conteúdo","Serviço de descoberta para aplicações na nuvem. Mantém um registro dinâmico de recursos com verificação de saúde."
"AWS Cloud9","Ferramentas de Desenvolvedor","IDE baseada em nuvem para desenvolvimento colaborativo. Inclui editor de código e terminal integrado."
"AWS CloudFormation","Gerenciamento e Governança","Serviço de infraestrutura como código com templates JSON/YAML. Automatiza provisionamento e versionamento de recursos."
"AWS CloudHSM","Segurança e Identidade","Módulo de segurança de hardware dedicado na nuvem. Gera e armazena chaves criptográficas com segurança."
"AWS CloudShell","Ferramentas de Desenvolvedor","Terminal baseado em navegador com CLI AWS pré-instalada. Oferece acesso direto aos serviços sem configuração."
"AWS CloudTrail","Gerenciamento e Governança","Serviço de auditoria e log de ações na conta AWS. Garante rastreamento completo para segurança e conformidade."
"AWS CloudWatch","Monitoramento","Serviço de monitoramento de recursos e aplicações AWS. Fornece métricas, logs, alertas e dashboards personalizados."
"AWS CodeArtifact","Ferramentas de Desenvolvedor","Repositório de artefatos para pacotes de software. Gerencia dependências de código de forma segura."
"AWS CodeBuild","Ferramentas de Desenvolvedor","Serviço gerenciado de build e teste de código. Oferece compilação escalável em múltiplos ambientes."
"AWS CodeCommit","Ferramentas de Desenvolvedor","Repositórios Git privados hospedados na AWS. Fornece controle de versão seguro e escalável."
"AWS CodeDeploy","Ferramentas de Desenvolvedor","Serviço de automação de deploy para EC2, Lambda e on-premises. Suporta blue/green deployments com rollback."
"AWS CodeGuru","Ferramentas de Desenvolvedor","Ferramenta de revisão automatizada de código com ML. Oferece recomendações de performance e detecção de bugs."
"AWS CodePipeline","Ferramentas de Desenvolvedor","Pipeline de CI/CD para entrega contínua. Orquestra build, teste e deploy de forma automatizada."
"AWS Comprehend","Machine Learning","Serviço de processamento de linguagem natural (NLP). Realiza análise de sentimentos e extração de entidades."
"AWS Compute Optimizer","Gerenciamento de Custos","Ferramenta de recomendações para otimização de recursos computacionais. Analisa utilização para reduzir custos."
"AWS Config","Gerenciamento e Governança","Serviço de avaliação de configurações e conformidade. Oferece auditoria contínua e remediação automática."
"AWS Connect","Centro de Atendimento","Contact center omnichannel baseado em nuvem. Inclui roteamento inteligente e analytics de atendimento."
"AWS Control Tower","Gerenciamento e Governança","Serviço de setup automatizado de landing zones multi-conta. Garante governança e compliance organizacional."
"AWS Cost and Usage Report","Gerenciamento de Custos","Relatórios detalhados de custos e uso da AWS. Fornece análise granular para otimização financeira."
"AWS Cost Anomaly Detection","Gerenciamento de Custos","Detecção automática de gastos anômalos com ML. Emite alertas proativos para controle de custos."
"AWS Cost Explorer","Gerenciamento de Custos","Ferramenta de visualização e análise de custos AWS. Oferece dashboards interativos e previsões de gastos."
"AWS Data Exchange","Analytics","Marketplace para datasets de terceiros. Facilita acesso a dados externos para analytics."
"AWS Data Transfer Terminal","Migração e Transferência","Serviço que acelera transferências de dados de e para a AWS por meio de locais físicos de aceleração distribuídos globalmente. Reduz a latência de upload e download aproveitando a infraestrutura de backbone da Amazon."
"AWS DataSync","Migração e Transferência","Serviço de transferência de dados entre on-premises e AWS. Oferece sincronização automática e incremental."
"AWS Deadline Cloud","Mídia","Serviço gerenciado de farm de renderização para estúdios de animação, VFX e jogos que precisam escalar processamento de renderização na nuvem. Gerencia filas de trabalhos de renderização, escala automaticamente workers EC2 e integra-se com softwares como Maya, Nuke e Blender."
"AWS Device Farm","Ferramentas de Desenvolvedor","Serviço de teste de aplicações mobile em dispositivos reais. Valida em múltiplos dispositivos e versões."
"AWS DevOps Agent","Ferramentas de Desenvolvedor","Agente de IA autônomo lançado em 2025 que executa tarefas de DevOps como criação de pipelines, configuração de infraestrutura e resolução de problemas operacionais. Integra-se com CodePipeline, CloudFormation e outros serviços para automatizar fluxos de trabalho complexos via linguagem natural."
"AWS Direct Connect","Rede e Entrega de Conteúdo","Conexão de rede dedicada entre datacenter e AWS. Garante largura de banda consistente e baixa latência."
"AWS Directory Service","Segurança e Identidade","Active Directory gerenciado na nuvem. Integra-se com identidades corporativas existentes."
"AWS DMS (Database Migration Service)","Migração e Transferência","Serviço de migração de bancos de dados com downtime mínimo. Suporta múltiplas engines e plataformas."
"AWS DocumentDB","Banco de Dados","Banco NoSQL compatível com MongoDB. Oferece performance e escalabilidade para dados documentais."
"AWS DynamoDB","Banco de Dados","Banco NoSQL serverless com latência single-digit. Garante performance consistente em qualquer escala."
"AWS EBS (Elastic Block Store)","Armazenamento","Volumes de blocos persistentes para EC2. Fornece alta performance e durabilidade para dados críticos."
"AWS EC2 (Elastic Compute Cloud)","Computação","Servidores virtuais escaláveis na nuvem. Oferece compute sob demanda com diversos tipos de instância."
"AWS EC2 Auto Scaling","Computação","Escalabilidade automática para instâncias EC2. Ajusta dinamicamente com base em demanda e métricas."
"AWS EC2 Image Builder","Computação","Serviço de automação de criação de AMIs. Cria pipelines para imagens personalizadas e atualizadas."
"AWS ECS (Elastic Container Service)","Computação","Orquestração de containers Docker gerenciada. Oferece execução escalável sem gerenciar infraestrutura."
"AWS EFS (Elastic File System)","Armazenamento","Sistema de arquivos NFS elástico para EC2. Permite compartilhamento concorrente com escalabilidade."
"AWS EKS (Elastic Kubernetes Service)","Computação","Kubernetes gerenciado pela AWS. Orquestra containers com padrão open source."
"AWS Elastic Beanstalk","Computação","Plataforma PaaS para deploy rápido de aplicações. Abstrai infraestrutura, mas permite controle total. (Nota: Não recomendado para novos projetos; considere AWS App Runner.)"
"AWS Elastic Disaster Recovery (DRS)","Armazenamento","Serviço de recuperação de desastres que replica servidores físicos, virtuais e em nuvem para a AWS com RPO de segundos. Mantém uma cópia atualizada dos servidores de origem na AWS, pronta para inicialização em caso de falha."
"AWS Elastic Load Balancing","Rede e Entrega de Conteúdo","Distribuição automática de tráfego entre recursos. Garante alta disponibilidade e tolerância a falhas."
"AWS ElastiCache","Banco de Dados","Cache in-memory com Redis ou Memcached. Acelera aplicações com latência em microsegundos."
"AWS Elemental Appliances & Software","Mídia","Linha de hardware e software on-premises da AWS Elemental para processamento de vídeo em data centers e instalações de broadcast. Oferece versões físicas dos serviços de vídeo AWS como MediaLive e MediaConnect para casos onde o processamento deve ocorrer localmente."
"AWS Elemental Inference","Mídia","Serviço de inferência de machine learning otimizado para workloads de vídeo e mídia da família AWS Elemental. Permite executar modelos de ML para análise de conteúdo de vídeo, detecção de objetos, reconhecimento facial e classificação de cenas em tempo real."
"AWS EMR (Elastic MapReduce)","Analytics","Cluster gerenciado para big data com Spark e Hadoop. Processa petabytes de dados de forma distribuída."
"AWS End User Messaging","Comunicação","Serviço consolidado para envio de mensagens SMS, MMS e WhatsApp para usuários finais em escala global. Gerencia registros de números telefônicos, conformidade com regulamentações locais de SMS e opt-in/opt-out automaticamente."
"AWS Entity Resolution","Analytics","Serviço gerenciado para identificar e vincular registros relacionados a mesma entidade (pessoa, produto, empresa) espalhados em múltiplos datasets. Usa técnicas de record linkage e fuzzy matching para resolver identidades mesmo sem identificadores comuns."
"AWS EventBridge","Integração de Aplicações","Event bus serverless para arquiteturas orientadas a eventos. Conecta aplicações AWS, SaaS e customizadas."
"AWS Fargate","Computação","Compute serverless para containers. Permite foco na aplicação sem gerenciamento de servidores."
"AWS Fault Injection Service (FIS)","Ferramentas de Desenvolvedor","Serviço de engenharia do caos que permite injetar falhas controladas em workloads AWS para testar resiliência. Simula cenários como falha de instâncias EC2, throttling de APIs, latência de rede e perda de pacotes. Baseado nos princípios do Chaos Engineering popularizados pelo Netflix."
"AWS Firewall Manager","Segurança e Identidade","Gerenciamento central de regras de firewall. Aplica políticas de segurança consistentes multi-conta."
"AWS FSx","Armazenamento","Sistemas de arquivos de alta performance. Otimizado para workloads Windows e computação de alta performance (HPC)."
"AWS Global Accelerator","Rede e Entrega de Conteúdo","Serviço de melhoria de performance para aplicações globais. Usa roteamento inteligente na rede AWS."
"AWS Global View","Gerenciamento e Governança","Painel centralizado para visualizar e gerenciar recursos AWS em múltiplas regiões e contas de forma unificada. Oferece visibilidade global do inventário de recursos como EC2, VPCs e buckets S3 sem precisar trocar de região no console."
"AWS Glue","Analytics","Serviço ETL serverless para preparação de dados. Automatiza descoberta, catalogação e transformação."
"AWS Glue DataBrew","Analytics","Ferramenta visual de preparação de dados que permite analistas e cientistas de dados limpar e normalizar dados sem escrever código. Oferece mais de 250 transformações prontas para aplicar via interface gráfica intuitiva."
"AWS Ground Station","Satélite","Serviço de comunicação com satélites usando antenas AWS. Oferece downlink de dados espaciais sob demanda."
"AWS GuardDuty","Segurança e Identidade","Serviço de detecção de ameaças com machine learning. Monitora continuamente atividades maliciosas."
"AWS Health Dashboard","Suporte","Painel que exibe o estado de saúde dos serviços AWS e alertas personalizados sobre eventos que podem afetar os recursos da sua conta. Separa a saúde geral dos serviços AWS (Service Health) de eventos específicos da conta (Account Health/PHD)."
"AWS HealthImaging","Saúde","Serviço gerenciado para armazenar, acessar e analisar imagens médicas em escala de petabytes na nuvem. Suporta imagens DICOM de modalidades como ressonância magnética, tomografia e radiografia. Oferece API para integração com softwares de visualização e sistemas PACS hospitalares."
"AWS HealthOmics","Saúde","Serviço especializado para armazenar, processar e analisar dados ômicos de larga escala como genômica, transcriptômica e proteômica. Gerencia workflows de bioinformática como variante calling, alinhamento de sequências e análise de expressão gênica em escala."
"AWS IAM (Identity and Access Management)","Segurança e Identidade","Serviço de controle de acesso granular para usuários e recursos. Oferece autenticação e autorização centralizadas."
"AWS IAM Identity Center","Segurança e Identidade","Single sign-on para múltiplas contas AWS. Gerencia identidades corporativas de forma centralizada."
"AWS Incident Manager","Gerenciamento e Governança","Serviço para gerenciar e resolver incidentes operacionais de forma estruturada e rápida. Automatiza planos de resposta com runbooks, escalonamento de contatos e criação de salas de situação (war rooms)."
"AWS Infrastructure Composer","Ferramentas de Desenvolvedor","Ferramenta visual para projetar, visualizar e construir arquiteturas serverless e IaC na AWS. Permite arrastar e soltar componentes para criar templates CloudFormation e SAM visualmente."
"AWS Inspector","Segurança e Identidade","Serviço de avaliação automática de segurança. Detecta vulnerabilidades em aplicações e configurações."
"AWS IoT 1-Click","Internet das Coisas","Dispositivos IoT simples para triggers de ações. Integra-se facilmente com Lambda e outros serviços."
"AWS IoT Core","Internet das Coisas","Serviço de conectividade segura para dispositivos IoT. Suporta comunicação bidirecional com MQTT e HTTP."
"AWS IoT Device Defender","Internet das Coisas","Solução de segurança para frotas de dispositivos IoT. Audita comportamento anômalo e emite alertas."
